S.No.,Fighter Name,Height,Weight,Reach,Stance,DOB
319,Lerone Murphy,5.09,145 lbs.,"73""",Orthodox,"Jul 22, 1991"
320,Edson Barboza,5.01,145 lbs.,"75""",Orthodox,"Jan 21, 1986"
321,Khaos Williams,6.0,170 lbs.,"77""",Orthodox,"Mar 30, 1994"
322,Carlston Harris,6.0,170 lbs.,"76""",Orthodox,"Jul 09, 1987"
323,Themba Gorimbo,6.01,170 lbs.,"77""",Orthodox,"Jan 23, 1991"
324,Ramiz Brahimaj,5.01,170 lbs.,"72""",Orthodox,"Nov 17, 1992"
325,Adrian Yanez,5.07,135 lbs.,"70""",Orthodox,"Nov 29, 1993"
326,Vinicius Salvador,5.07,135 lbs.,"70""",Southpaw,"Jul 24, 1996"
327,Luana Pinheiro,5.02,115 lbs.,"62""",Orthodox,"Nov 18, 1992"
328,Victor Martinez,5.08,155 lbs.,"70""",Orthodox,"Jul 17, 1991"
329,Oumar Sy,6.04,205 lbs.,"83""",Orthodox,"Nov 21, 1995"
330,Tuco Tokkos,6.04,205 lbs.,"76""",Orthodox,"Jun 30, 1990"
331,Melissa Gatto,5.05,135 lbs.,"69""",Orthodox,"May 02, 1996"
332,Tamires Vidal,5.06,135 lbs.,"68""",Orthodox,"Jul 27, 1998"
333,Abus Magomedov,6.02,185 lbs.,"78""",Orthodox,"Sep 02, 1990"
334,Warlley Alves,5.01,185 lbs.,"72""",Orthodox,"Jan 04, 1991"
335,Ariane Carnelossi,5.02,115 lbs.,"61""",Orthodox,"Nov 17, 1992"
336,Piera Rodriguez,5.03,115 lbs.,"63""",Orthodox,"Nov 11, 1992"
337,Alatengheili,5.05,135 lbs.,"66""",Orthodox,"Dec 14, 1991"
338,Kleydson Rodrigues,5.05,135 lbs.,"67""",Orthodox,"Oct 22, 1995"
339,Emily Ducote,5.02,115 lbs.,"63""",Orthodox,"Jan 01, 1994"
340,Derrick Lewis,6.03,260 lbs.,"79""",Orthodox,"Feb 07, 1985"
341,Rodrigo Nascimento,6.02,246 lbs.,"80""",Orthodox,"Nov 26, 1992"
342,Joaquin Buckley,5.01,170 lbs.,"76""",Southpaw,"Apr 27, 1994"
343,Nursulton Ruziboev,6.05,170 lbs.,"76""",Orthodox,"Nov 19, 1993"
344,Carlos Ulberg,6.04,205 lbs.,"77""",Orthodox,"Nov 07, 1990"
345,Diego Ferreira,5.09,155 lbs.,"74""",Orthodox,"Jan 18, 1985"
346,Mateusz Rebecki,5.07,155 lbs.,"66""",Southpaw,"Nov 03, 1992"
347,Sean Woodson,6.02,145 lbs.,"78""",Orthodox,"Jun 07, 1992"
348,Alex Caceres,5.01,145 lbs.,"73""",Southpaw,"Jun 20, 1988"
349,Waldo Cortes-Acosta,6.04,260 lbs.,"78""",Orthodox,"Oct 03, 1991"
350,Robelis Despaigne,6.07,265 lbs.,"84""",Orthodox,"Sep 09, 1988"
351,Chase Hooper,6.01,155 lbs.,"74""",Southpaw,"Sep 13, 1999"
352,Terrance McKinney,5.01,155 lbs.,"73""",Switch,"Sep 15, 1994"
353,Tecia Pennington,5.01,115 lbs.,"60""",Orthodox,"Aug 16, 1989"
354,Trey Waters,6.05,170 lbs.,"77""",Orthodox,"Feb 21, 1995"
355,Billy Ray Goff,5.01,170 lbs.,"72""",Switch,"Jun 18, 1998"
356,Veronica Hardy,5.04,125 lbs.,"64""",Southpaw,"Oct 30, 1995"
357,JJ Aldrich,5.05,125 lbs.,"67""",Southpaw,"Sep 29, 1992"
358,Alexandre Pantoja,5.05,125 lbs.,"67""",Orthodox,"Apr 16, 1990"
359,Jose Aldo,5.07,135 lbs.,"70""",Orthodox,"Sep 09, 1986"
